,name,country,lat,long,date,temp,humidity,cloud,wind
0,Sistranda,NO,63.73,8.83,1569293143,49.35,87,0,16.11
1,Ust-Ordynskiy,RU,52.8,104.75,1569293143,60.8,63,0,11.18
2,Tuktoyaktuk,CA,69.44,-133.03,1569293143,37.4,86,75,8.05
3,Terrace Bay,CA,48.78,-87.1,1569293143,49.37,95,38,3.58
4,Mahebourg,MU,-20.41,57.7,1569293144,69.35,68,75,16.11
5,Puerto Ayora,EC,-0.74,-90.35,1569292869,68.0,91,3,5.99
6,Avarua,CK,-21.21,-159.78,1569293144,71.6,73,99,5.82
7,Bairnsdale,AU,-37.83,147.63,1569293144,62.44,43,54,4.0
8,Katsuura,JP,33.93,134.5,1569293145,75.02,69,75,5.82
9,Atbasar,KZ,51.81,68.36,1569293145,40.55,72,0,20.67
10,Kodiak,US,39.95,-94.76,1569293145,65.59,88,1,5.82
11,Busselton,AU,-33.64,115.35,1569293145,73.33,30,0,14.99
12,Saint-Philippe,CA,45.36,-73.48,1569293146,66.11,88,75,9.17
13,Aklavik,CA,68.22,-135.01,1569293146,39.2,100,90,3.36
14,Umm Lajj,SA,25.02,37.27,1569293146,85.37,72,0,12.8
15,Coahuayana,MX,18.62,-100.35,1569293146,73.31,92,27,2.64
16,Punta Arenas,CL,-53.16,-70.91,1569293146,48.09,81,75,4.7
17,Awjilah,LY,29.14,21.3,1569293147,67.01,68,0,6.55
18,Imbituba,BR,-28.24,-48.67,1569293146,59.0,82,75,4.7
19,Vaini,IN,15.34,74.49,1569293147,72.52,94,75,1.61
20,Mbigou,GA,-1.9,11.91,1569293147,71.15,96,100,2.35
21,Ancud,CL,-41.87,-73.83,1569293147,48.2,93,75,4.7
22,La Libertad,PE,-16.38,-71.56,1569292968,55.4,37,0,4.7
23,Rocha,UY,-34.48,-54.34,1569293148,44.87,93,0,6.46
24,Hami,CN,42.84,93.51,1569293148,79.79,11,69,6.42
25,Ucluelet,CA,48.94,-125.55,1569293148,57.34,96,100,1.99
26,Georgetown,GY,6.8,-58.16,1569292885,73.4,94,20,4.7
27,Cabo San Lucas,MX,22.89,-109.91,1569293074,80.91,78,5,19.46
28,Albany,US,42.65,-73.75,1569293149,65.05,93,90,6.93
29,Kununurra,AU,-15.77,128.74,1569293149,86.0,20,0,14.99
30,Mar del Plata,AR,-46.43,-67.52,1569293149,54.77,59,11,21.07
31,Bambous Virieux,MU,-20.34,57.76,1569293149,69.37,68,75,16.11
32,Rikitea,PF,-23.12,-134.97,1569293150,69.53,73,49,14.34
